2012-12-27 14:33:15	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:33:22	- AGENT - Enter Queue	6005	SIP/8002	8005
2012-12-27 14:33:31	- AGENT - Ring noAns	6002	SIP/8004	8003
2012-12-27 14:33:32	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:33:35	- AGENT - Ring noAns	6002	SIP/8004	8003
2012-12-27 14:33:38	- AGENT - Ring noAns	6005	SIP/8002	8005
2012-12-27 14:33:39	- AGENT - Enter Queue	6005	SIP/8002	8005
2012-12-27 14:33:42	- AGENT - Ring noAns	6005	SIP/8002	8005
2012-12-27 14:33:50	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:33:54	- AGENT - Connect Queue	6002	SIP/8004	8003
2012-12-27 14:34:30	- AGENT - Caller complete	6002	SIP/8004	8003
2012-12-27 14:36:21	- AGENT - Agent unpause	127.0.0.1	6001
2012-12-27 14:36:24	- AGENT - Agent logout	127.0.0.1	6001
2012-12-27 14:36:26	- AGENT - Agent logout	127.0.0.1	6002
2012-12-27 14:36:27	- AGENT - Agent logout	127.0.0.1	6005
2012-12-27 15:31:18	- AGENT - Accept connect from address	127.0.0.1
2012-12-27 15:31:18	- AGENT - Agent login successful 	127.0.0.1	6001
2012-12-27 15:31:24	- AGENT - Agent Dialout 	6001	6010
2012-12-27 15:32:25	- AGENT - Agent logout	127.0.0.1	6001
2012-12-27 15:34:33	- AGENT - Accept connect from address	127.0.0.1
2012-12-27 15:34:33	- AGENT - Agent login successful 	127.0.0.1	6001
2012-12-27 15:34:43	- AGENT - Agent Dialout 	6001	6011
2012-12-27 15:35:21	- AGENT - Agent logout	127.0.0.1	6001
2012-12-27 15:37:56	- AGENT - Accept connect from address	127.0.0.1
2012-12-27 15:37:56	- AGENT - Agent login successful 	127.0.0.1	6001
2012-12-27 15:38:01	- AGENT - Agent Dialout 	6001	6011
2012-12-27 15:38:55	- AGENT - Agent logout	127.0.0.1	6001
2012-12-27 15:40:50	- AGENT - Accept connect from address	127.0.0.1
2012-12-27 15:40:50	- AGENT - Agent login successful 	127.0.0.1	6001
2012-12-27 15:40:54	- AGENT - Agent Dialout 	6001	6011
2012-12-27 15:41:07	- AGENT - Agent Dialout 	6001	6011
2012-12-27 15:41:22	- AGENT - Agent Dialout 	6001	6011
2012-12-27 15:42:11	- AGENT - Agent Dialout 	6001	4011
2012-12-27 15:47:38	- AGENT - Agent Dialout 	6001	4011
2012-12-27 15:47:57	- AGENT - Accept connect from address	127.0.0.1
2012-12-27 15:47:57	- AGENT - Agent login successful 	127.0.0.1	6002
2012-12-27 15:48:38	- AGENT - Agent Dialout 	6002	4010
2012-12-27 15:49:25	- AGENT - Agent Dialout 	6002	4001
2012-12-27 15:49:38	- AGENT - Agent Dialout 	6001	4002
2012-12-27 15:49:55	- AGENT - Agent Dialout 	6001	4002
2012-12-27 15:51:08	- AGENT - Agent Dialout 	6002	4011
2012-12-27 15:54:56	- AGENT - Agent Dialout 	6002	4011
2012-12-27 15:55:04	- AGENT - Agent Dialout 	6002	4010
2012-12-27 15:58:21	- AGENT - Accept connect from address	127.0.0.1
